当前排名,代码,股票名称,最新价,涨跌额,涨跌幅,date
49,SZ000759,中百集团,10.47,0.50256,4.8,2025-03-01
50,SZ300083,创世纪,9.19,0.1838,2.0,2025-03-01
51,SH603626,科森科技,10.58,0.330096,3.12,2025-03-01
52,SZ300076,GQY视讯,8.2,1.6449199999999997,20.06,2025-03-01
53,SZ301182,凯旺科技,49.18,9.840918,20.01,2025-03-01
54,SZ000036,华联控股,4.29,0.429,10.0,2025-03-01
55,SZ300068,南都电源,20.81,-0.070754,-0.34,2025-03-01
56,SZ002692,远程股份,5.54,0.5495680000000001,9.92,2025-03-01
57,SZ000158,常山北明,25.19,-2.519,-10.0,2025-03-01
58,SZ000570,苏常柴Ａ,5.97,0.5934179999999999,9.94,2025-03-01
59,SZ000833,粤桂股份,14.44,0.5602719999999999,3.88,2025-03-01
60,SZ300302,同有科技,20.97,1.709055,8.15,2025-03-01
61,SZ002207,准油股份,5.82,0.583164,10.02,2025-03-01
62,SH600210,紫江企业,7.23,0.19521,2.7,2025-03-01
63,SH603595,东尼电子,21.25,2.122875,9.99,2025-03-01
64,SZ300687,赛意信息,29.3,4.79348,16.36,2025-03-01
65,SZ002616,长青集团,6.31,0.626583,9.93,2025-03-01
66,SH600143,金发科技,12.01,-0.368707,-3.07,2025-03-01
67,SZ002245,蔚蓝锂芯,14.52,-1.1935440000000002,-8.22,2025-03-01
68,SH603887,城地香江,20.15,1.2089999999999999,6.0,2025-03-01
69,SZ301396,宏景科技,60.58,12.122057999999999,20.01,2025-03-01
70,SZ300035,中科电气,16.55,0.24328500000000003,1.47,2025-03-01
71,SH603958,哈森股份,16.26,1.6276260000000002,10.01,2025-03-01
72,SZ000536,华映科技,5.91,0.174936,2.96,2025-03-01
73,SZ002123,梦网科技,17.6,0.11088,0.63,2025-03-01
74,SZ002896,中大力德,104.64,-10.464,-10.0,2025-03-01
75,SZ300191,潜能恒信,16.24,3.252872,20.03,2025-03-01
76,SZ002382,蓝帆医疗,5.51,0.549898,9.98,2025-03-01
77,SZ002358,森源电气,5.86,0.294172,5.02,2025-03-01
78,SH600602,云赛智联,22.49,-2.2489999999999997,-10.0,2025-03-01
79,SH600839,四川长虹,11.27,-0.5601189999999999,-4.97,2025-03-01
80,SH600580,卧龙电驱,25.65,-2.18538,-8.52,2025-03-01
81,SZ002428,云南锗业,20.33,0.941279,4.63,2025-03-01
82,SZ002882,金龙羽,18.55,0.53424,2.88,2025-03-01
83,SH603021,山东华鹏,4.74,0.4730520000000001,9.98,2025-03-01
84,SZ000063,中兴通讯,38.66,-1.7396999999999998,-4.5,2025-03-01
85,SZ003033,征和工业,36.48,3.651648,10.01,2025-03-01
86,SZ300846,首都在线,31.12,-2.063256,-6.63,2025-03-01
87,SZ000977,浪潮信息,59.21,-3.386812,-5.72,2025-03-01
88,SZ000034,神州数码,48.64,-0.1216,-0.25,2025-03-01
89,SZ300718,长盛轴承,92.9,-7.877920000000001,-8.48,2025-03-01
90,SZ300124,汇川技术,72.15,-5.151510000000001,-7.14,2025-03-01
91,SH603118,共进股份,14.01,-0.6024299999999999,-4.3,2025-03-01
92,SZ000818,航锦科技,31.45,-1.20139,-3.82,2025-03-01
